Date,MXWO,MXWD,LEGATRUU,HFRXGL,RX1,TY1,GC1,CO1,ES1,VG1,NQ1,LLL1,TP1,DU1,TU2
30/06/2009,964.050,244.900,380.339,1078.610,121.080,116.266,927.400,69.300,915.500,2398.000,1476.250,766.200,924.500,107.900,108.109
07/07/2009,929.900,236.860,382.371,1079.890,121.750,117.281,929.100,63.230,879.250,2312.000,1408.000,740.000,909.500,108.205,107.953
14/07/2009,945.720,239.970,384.052,1078.060,121.900,117.781,922.800,60.860,901.500,2362.000,1446.750,744.300,867.500,108.190,107.961
21/07/2009,1004.780,255.910,387.626,1080.260,121.260,117.781,946.900,66.870,953.500,2518.000,1554.000,819.700,901.500,108.170,107.977
28/07/2009,1028.210,262.160,386.447,1086.930,120.770,116.078,939.100,69.880,976.000,2570.000,1601.500,838.400,930.500,108.035,107.609
04/08/2009,1066.800,271.710,390.045,1094.460,121.590,116.047,967.500,74.280,1004.750,2669.000,1630.250,865.700,961.500,107.900,107.438
11/08/2009,1049.340,267.200,386.955,1100.740,120.490,116.094,945.800,72.460,993.000,2651.000,1596.500,832.800,972.500,107.785,107.438
18/08/2009,1045.120,265.770,389.941,1104.840,122.170,117.516,937.700,72.370,989.500,2620.000,1587.000,826.900,949.000,108.090,107.836
25/08/2009,1090.660,276.950,393.638,1107.310,122.440,117.875,944.500,71.820,1026.000,2802.000,1636.500,860.200,966.000,108.150,107.898
01/09/2009,1066.630,270.960,394.994,1109.330,122.610,118.859,955.200,67.730,996.500,2717.000,1595.500,823.200,962.500,108.360,108.320
08/09/2009,1098.550,279.590,398.212,1114.100,122.750,118.438,998.500,69.420,1025.000,2787.000,1655.250,881.400,948.500,108.690,108.328
15/09/2009,1119.900,284.870,400.630,1122.810,121.070,118.656,1005.300,67.350,1050.250,2839.000,1696.750,903.700,927.000,108.120,108.383
22/09/2009,1143.390,291.220,402.348,1126.310,120.240,117.031,1014.400,70.530,1067.250,2869.000,1734.250,931.400,934.500,108.105,108.320
29/09/2009,1125.570,286.880,402.622,1125.310,121.740,118.297,993.100,65.490,1054.750,2880.000,1715.500,915.000,904.000,108.180,108.383
06/10/2009,1121.630,286.500,407.153,1130.130,122.430,119.125,1038.600,68.560,1048.500,2849.000,1700.750,935.300,867.500,108.240,107.992
13/10/2009,1142.150,292.050,407.018,1141.570,122.550,118.906,1064.200,72.400,1068.750,2868.000,1726.750,956.000,900.000,108.150,108.078
20/10/2009,1166.030,298.210,407.567,1145.350,121.820,118.641,1057.800,77.240,1089.500,2917.000,1758.250,973.100,912.000,108.000,108.039
27/10/2009,1131.440,289.500,404.444,1144.340,121.520,117.922,1034.700,77.920,1060.500,2825.000,1719.750,940.600,898.000,108.150,107.969
03/11/2009,1104.090,281.700,404.591,1132.080,121.750,118.156,1084.900,78.110,1041.750,2704.000,1675.500,912.800,881.500,108.215,108.172
10/11/2009,1156.840,295.800,409.043,1139.250,121.720,118.578,1102.500,77.500,1092.000,2846.000,1772.500,975.000,872.000,108.330,108.359
17/11/2009,1169.560,299.320,410.738,1143.950,122.240,119.750,1139.400,78.970,1107.500,2902.000,1808.750,993.500,858.000,108.475,108.570
24/11/2009,1160.140,296.890,412.589,1150.380,122.720,120.094,1165.800,76.460,1103.000,2879.000,1786.500,979.300,829.000,108.455,108.742
01/12/2009,1171.940,299.570,417.025,1151.140,123.660,120.828,1199.100,79.350,1108.500,2868.000,1792.000,985.200,854.500,108.580,108.945
08/12/2009,1151.380,294.830,411.005,1151.860,123.570,120.141,1142.800,75.190,1090.000,2851.000,1768.500,962.700,896.500,108.655,108.852
15/12/2009,1157.840,296.500,406.655,1148.890,122.480,118.609,1122.400,72.050,1108.750,2886.000,1796.750,977.000,882.500,108.110,108.555
22/12/2009,1159.320,296.000,401.190,1150.190,122.360,116.234,1086.000,73.460,1113.500,2943.000,1841.000,959.900,901.500,108.290,108.484
29/12/2009,1177.970,301.200,401.882,1155.190,121.490,115.656,1097.000,77.640,1121.750,2987.000,1872.500,986.600,919.000,108.080,108.219
05/01/2010,1192.890,305.890,403.782,1157.230,121.440,116.203,1118.700,80.590,1132.250,3011.000,1885.250,1028.100,922.000,108.035,107.813
12/01/2010,1199.340,307.570,407.138,1172.080,122.140,116.750,1129.400,79.300,1134.000,2977.000,1865.500,1020.800,957.500,108.245,108.063
19/01/2010,1203.330,308.150,405.272,1172.790,122.480,117.078,1140.000,77.630,1145.750,2983.000,1889.750,1031.600,950.500,108.355,108.133
26/01/2010,1143.440,291.830,404.696,1163.590,123.280,117.828,1098.300,73.290,1087.250,2825.000,1796.500,934.500,917.000,108.540,108.336
02/02/2010,1144.960,292.260,402.935,1157.010,123.470,118.016,1117.400,76.060,1097.250,2832.000,1769.000,945.500,913.000,108.535,108.391
09/02/2010,1101.180,281.250,401.243,1154.530,123.980,118.234,1076.700,72.130,1066.250,2661.000,1752.000,916.400,880.000,108.795,108.500
16/02/2010,1124.860,287.470,400.734,1155.860,123.380,118.313,1119.300,75.680,1093.250,2719.000,1799.250,946.500,884.500,108.885,108.570
23/02/2010,1128.520,288.590,399.789,1161.490,123.670,118.047,1102.700,77.250,1097.250,2728.000,1801.000,931.000,908.000,108.990,108.492
02/03/2010,1149.390,294.010,401.743,1160.060,124.200,118.891,1137.400,78.180,1117.500,2794.000,1852.250,965.900,903.500,109.140,108.750
09/03/2010,1174.110,300.560,401.859,1167.170,122.830,118.516,1122.300,79.910,1140.500,2881.000,1901.250,997.500,923.000,108.610,108.617
16/03/2010,1193.730,305.140,404.019,1169.140,122.860,118.766,1122.500,79.020,1159.500,2907.000,1931.000,999.100,932.000,108.570,108.578
23/03/2010,1200.860,306.840,402.484,1171.380,123.670,117.281,1103.700,80.700,1169.500,2842.000,1962.250,1002.900,939.500,108.695,108.477
30/03/2010,1201.100,307.490,398.223,1172.400,123.180,115.938,1104.500,81.280,1169.500,2871.000,1965.500,1010.000,983.000,108.720,108.398
06/04/2010,1218.120,312.470,396.904,1179.660,122.880,115.219,1135.100,86.150,1185.750,2914.000,1978.750,1053.000,993.000,108.690,107.586
13/04/2010,1226.010,314.010,401.042,1184.230,122.980,116.578,1152.800,84.720,1193.000,2920.000,2001.250,1040.000,988.000,108.725,107.867
20/04/2010,1228.050,314.030,400.725,1184.210,123.500,116.766,1138.600,84.800,1205.500,2910.000,2024.250,1028.400,973.000,108.895,107.984
27/04/2010,1202.480,308.230,399.505,1187.540,124.640,117.656,1161.700,85.780,1181.000,2778.000,2008.750,996.000,997.500,109.080,108.109
04/05/2010,1171.400,300.130,397.245,1185.550,125.510,118.141,1169.200,85.670,1172.500,2656.000,1969.500,972.200,983.000,109.300,108.289
11/05/2010,1144.890,292.970,394.728,1166.480,125.630,119.016,1220.300,80.490,1152.250,2701.000,1935.250,959.000,933.500,109.575,108.570
18/05/2010,1111.910,284.870,393.445,1170.910,126.860,120.203,1214.600,74.430,1118.750,2672.000,1888.000,924.700,912.500,109.745,108.883
25/05/2010,1048.530,267.420,394.416,1150.500,129.380,121.672,1198.000,69.550,1073.000,2481.000,1815.500,871.300,857.500,109.935,109.031
01/06/2010,1069.540,274.130,393.523,1154.210,128.660,120.672,1224.800,72.710,1069.500,2597.000,1831.000,894.900,883.500,109.995,109.023
08/06/2010,1045.480,268.140,390.833,1151.250,130.160,121.813,1244.000,72.300,1059.250,2500.000,1791.500,894.200,856.500,110.110,109.094
15/06/2010,1108.340,283.990,394.210,1149.720,128.300,120.719,1233.200,76.200,1113.500,2715.000,1894.500,954.400,875.000,109.625,109.063
22/06/2010,1105.210,284.440,396.504,1153.710,128.100,120.906,1239.900,78.040,1090.500,2742.000,1878.250,952.600,893.500,109.540,109.219
29/06/2010,1048.090,270.020,398.743,1149.320,129.430,122.531,1242.400,75.440,1035.250,2559.000,1763.500,902.700,851.000,109.610,109.438
06/07/2010,1051.600,271.030,404.870,1140.530,129.300,122.734,1195.100,71.450,1024.250,2565.000,1734.500,926.700,849.000,109.430,109.172
13/07/2010,1109.010,284.890,404.317,1144.220,128.880,121.656,1213.500,76.650,1089.750,2731.000,1842.500,964.300,853.000,109.320,109.078
20/07/2010,1093.510,281.290,408.462,1146.230,128.900,123.234,1191.700,76.220,1080.000,2623.000,1839.750,966.900,832.500,109.230,109.273
27/07/2010,1130.920,291.100,409.469,1153.550,127.690,122.328,1158.000,76.130,1111.000,2766.000,1886.500,994.000,845.500,109.050,109.094
03/08/2010,1152.990,296.750,416.785,1157.410,129.060,123.984,1185.200,82.680,1118.250,2815.000,1893.000,1017.500,858.500,109.330,109.391
10/08/2010,1145.360,294.740,416.231,1159.590,129.950,124.984,1196.200,79.600,1119.750,2796.000,1896.500,1006.900,853.000,109.395,109.430
17/08/2010,1118.890,288.520,416.785,1156.410,131.690,125.672,1226.600,76.930,1089.000,2736.000,1839.500,1000.600,827.500,109.590,109.477
24/08/2010,1079.040,278.830,418.372,1158.150,133.900,126.406,1231.800,72.380,1049.750,2614.000,1773.750,968.800,816.000,109.800,109.578
31/08/2010,1080.700,279.060,418.689,1156.810,134.430,126.500,1249.000,74.640,1048.250,2615.000,1766.500,969.400,800.500,109.805,109.570
07/09/2010,1123.680,290.070,417.548,1161.510,133.200,125.828,1257.900,77.740,1091.250,2729.000,1857.500,998.200,834.000,109.810,109.555
14/09/2010,1158.150,298.910,420.114,1162.280,130.510,125.453,1270.200,79.160,1120.750,2809.000,1925.250,1040.500,828.000,109.290,109.508
21/09/2010,1169.470,301.760,419.560,1169.020,129.650,125.750,1272.700,78.420,1134.750,2784.000,1985.500,1050.500,841.500,109.125,109.688
